test_date,county,new_positives,total_number_of_tests_performed
2023-08-27,Wyoming,2,4
2023-08-27,Yates,0,1
2023-08-26,Albany,13,83
2023-08-26,Allegany,2,2
2023-08-26,Bronx,88,845
2023-08-26,Broome,11,33
2023-08-26,Capital Region,44,258
2023-08-26,Cattaraugus,4,8
2023-08-26,Cayuga,3,16
2023-08-26,Central New York,31,325
2023-08-26,Chautauqua,7,19
2023-08-26,Chemung,5,28
2023-08-26,Chenango,2,5
2023-08-26,Clinton,4,28
2023-08-26,Columbia,3,8
2023-08-26,Cortland,2,8
2023-08-26,Delaware,6,10
2023-08-26,Dutchess,22,94
2023-08-26,Erie,22,62
2023-08-26,Essex,3,19
2023-08-26,Finger Lakes,59,314
2023-08-26,Franklin,0,18
2023-08-26,Fulton,1,20
2023-08-26,Genesee,1,10
2023-08-26,Greene,3,7
2023-08-26,Hamilton,0,3
2023-08-26,Herkimer,2,11
2023-08-26,Jefferson,6,49
2023-08-26,Kings,132,1270
2023-08-26,Lewis,0,10
2023-08-26,Livingston,1,2
2023-08-26,Long Island,189,1271
2023-08-26,Madison,0,26
2023-08-26,Mid-Hudson,142,1114
2023-08-26,Mohawk Valley,26,152
2023-08-26,Monroe,46,234
2023-08-26,Montgomery,1,6
2023-08-26,Nassau,113,714
2023-08-26,New York,81,620
2023-08-26,New York City,476,3869
2023-08-26,Niagara,13,21
2023-08-26,North Country,19,186
2023-08-26,Oneida,18,107
2023-08-26,Onondaga,22,203
2023-08-26,Ontario,3,14
2023-08-26,Orange,28,229
2023-08-26,Orleans,1,5
2023-08-26,Oswego,4,72
2023-08-26,Otsego,4,7
2023-08-26,Putnam,7,36
2023-08-26,Queens,152,955
2023-08-26,Rensselaer,3,25
2023-08-26,Richmond,23,179
2023-08-26,Rockland,19,154
2023-08-26,STATEWIDE,1076,7715
2023-08-26,Saratoga,6,36
2023-08-26,Schenectady,3,17
2023-08-26,Schoharie,0,1
2023-08-26,Schuyler,0,1
2023-08-26,Seneca,1,17
2023-08-26,Southern Tier,42,114
2023-08-26,St. Lawrence,6,59
2023-08-26,Steuben,3,14
2023-08-26,Suffolk,76,557
2023-08-26,Sullivan,7,33
2023-08-26,Tioga,3,4
2023-08-26,Tompkins,12,19
2023-08-26,Ulster,11,57
2023-08-26,Warren,4,33
2023-08-26,Washington,9,49
2023-08-26,Wayne,5,26
2023-08-26,Westchester,48,511
2023-08-26,Western New York,48,112
2023-08-26,Wyoming,1,5
2023-08-26,Yates,0,1
2023-08-25,Albany,18,102
2023-08-25,Allegany,0,0
2023-08-25,Bronx,98,965
2023-08-25,Broome,14,49
2023-08-25,Capital Region,69,389
2023-08-25,Cattaraugus,1,4
2023-08-25,Cayuga,5,16
2023-08-25,Central New York,58,403
2023-08-25,Chautauqua,5,19
2023-08-25,Chemung,4,36
2023-08-25,Chenango,4,42
2023-08-25,Clinton,3,29
2023-08-25,Columbia,5,12
2023-08-25,Cortland,2,13
2023-08-25,Delaware,4,10
2023-08-25,Dutchess,27,136
2023-08-25,Erie,31,82
2023-08-25,Essex,2,17
2023-08-25,Finger Lakes,58,266
2023-08-25,Franklin,2,22
2023-08-25,Fulton,2,20
2023-08-25,Genesee,5,11
2023-08-25,Greene,0,8
2023-08-25,Hamilton,0,0
2023-08-25,Herkimer,5,9
2023-08-25,Jefferson,7,55
2023-08-25,Kings,168,1413
2023-08-25,Lewis,2,8
2023-08-25,Livingston,2,6
2023-08-25,Long Island,222,1474
2023-08-25,Madison,8,23
2023-08-25,Mid-Hudson,223,1543
2023-08-25,Mohawk Valley,31,168
2023-08-25,Monroe,37,177
2023-08-25,Montgomery,6,18
2023-08-25,Nassau,114,797
2023-08-25,New York,108,896
2023-08-25,New York City,614,4883
2023-08-25,Niagara,8,31
2023-08-25,North Country,21,191
2023-08-25,Oneida,11,110
2023-08-25,Onondaga,33,252
2023-08-25,Ontario,4,12
2023-08-25,Orange,45,392
2023-08-25,Orleans,1,7
2023-08-25,Oswego,10,99
2023-08-25,Otsego,5,7
2023-08-25,Putnam,12,68
2023-08-25,Queens,197,1395
2023-08-25,Rensselaer,12,44
2023-08-25,Richmond,43,214
2023-08-25,Rockland,13,168
2023-08-25,STATEWIDE,1396,9666
2023-08-25,Saratoga,17,118
2023-08-25,Schenectady,7,35
2023-08-25,Schoharie,2,4
2023-08-25,Schuyler,4,7
2023-08-25,Seneca,2,19
2023-08-25,Southern Tier,55,213
2023-08-25,St. Lawrence,5,60
2023-08-25,Steuben,12,32
2023-08-25,Suffolk,108,677
2023-08-25,Sullivan,13,44
2023-08-25,Tioga,2,5
2023-08-25,Tompkins,11,32
2023-08-25,Ulster,10,87
2023-08-25,Warren,4,24
2023-08-25,Washington,6,46
2023-08-25,Wayne,5,25
2023-08-25,Westchester,103,648
2023-08-25,Western New York,45,136
2023-08-25,Wyoming,0,4
2023-08-25,Yates,2,5
2023-08-24,Albany,15,107
2023-08-24,Allegany,2,2
2023-08-24,Bronx,125,992
2023-08-24,Broome,15,43
2023-08-24,Capital Region,51,305
2023-08-24,Cattaraugus,1,6
2023-08-24,Cayuga,5,48
2023-08-24,Central New York,53,498
2023-08-24,Chautauqua,2,14
2023-08-24,Chemung,4,45
2023-08-24,Chenango,3,8
2023-08-24,Clinton,0,36
2023-08-24,Columbia,3,5
2023-08-24,Cortland,4,17
2023-08-24,Delaware,6,24
2023-08-24,Dutchess,18,83
2023-08-24,Erie,47,135
2023-08-24,Essex,1,16
2023-08-24,Finger Lakes,69,348
2023-08-24,Franklin,3,21
2023-08-24,Fulton,3,15
2023-08-24,Genesee,3,20
2023-08-24,Greene,3,13
2023-08-24,Hamilton,0,1
2023-08-24,Herkimer,0,14
2023-08-24,Jefferson,2,76
2023-08-24,Kings,190,1383
2023-08-24,Lewis,0,6
2023-08-24,Livingston,1,4
2023-08-24,Long Island,205,1451
2023-08-24,Madison,0,25
2023-08-24,Mid-Hudson,158,1247
2023-08-24,Mohawk Valley,24,188
2023-08-24,Monroe,50,236
2023-08-24,Montgomery,6,17
2023-08-24,Nassau,118,775
2023-08-24,New York,129,853
2023-08-24,New York City,699,4812
2023-08-24,Niagara,8,29
2023-08-24,North Country,12,226
2023-08-24,Oneida,10,133
2023-08-24,Onondaga,35,299
2023-08-24,Ontario,6,18
2023-08-24,Orange,23,204
2023-08-24,Orleans,2,15
2023-08-24,Oswego,9,109
2023-08-24,Otsego,5,9
2023-08-24,Putnam,6,51
2023-08-24,Queens,227,1362
2023-08-24,Rensselaer,1,37
2023-08-24,Richmond,28,222
2023-08-24,Rockland,24,177
2023-08-24,STATEWIDE,1378,9436
2023-08-24,Saratoga,12,59
2023-08-24,Schenectady,7,34
2023-08-24,Schoharie,0,0
2023-08-24,Schuyler,3,8
2023-08-24,Seneca,1,14
2023-08-24,Southern Tier,47,175
2023-08-24,St. Lawrence,6,70
2023-08-24,Steuben,5,16
2023-08-24,Suffolk,87,676
2023-08-24,Sullivan,8,44
2023-08-24,Tioga,1,9
2023-08-24,Tompkins,10,22
2023-08-24,Ulster,11,53
2023-08-24,Warren,7,39
2023-08-24,Washington,3,11
2023-08-24,Wayne,4,35
2023-08-24,Westchester,68,635
2023-08-24,Western New York,60,186
2023-08-24,Wyoming,2,5
2023-08-24,Yates,0,1
2023-08-23,Albany,17,111
2023-08-23,Allegany,2,2
2023-08-23,Bronx,109,1028
2023-08-23,Broome,22,53
2023-08-23,Capital Region,44,323
2023-08-23,Cattaraugus,1,9
2023-08-23,Cayuga,4,18
2023-08-23,Central New York,46,427
2023-08-23,Chautauqua,8,24
2023-08-23,Chemung,5,36
2023-08-23,Chenango,5,53
2023-08-23,Clinton,4,33
2023-08-23,Columbia,3,12
2023-08-23,Cortland,7,21
2023-08-23,Delaware,5,10
2023-08-23,Dutchess,20,102
2023-08-23,Erie,38,116
2023-08-23,Essex,3,21
2023-08-23,Finger Lakes,61,357
2023-08-23,Franklin,2,21
2023-08-23,Fulton,4,15
2023-08-23,Genesee,1,14
2023-08-23,Greene,1,6
2023-08-23,Hamilton,0,1
2023-08-23,Herkimer,0,3
2023-08-23,Jefferson,5,60
2023-08-23,Kings,179,1399
2023-08-23,Lewis,2,14
2023-08-23,Livingston,1,4
2023-08-23,Long Island,242,1503
2023-08-23,Madison,1,28
2023-08-23,Mid-Hudson,184,1253
2023-08-23,Mohawk Valley,31,148
2023-08-23,Monroe,43,253
2023-08-23,Montgomery,4,14
2023-08-23,Nassau,109,759
2023-08-23,New York,114,802
2023-08-23,New York City,647,4555
2023-08-23,Niagara,6,31
2023-08-23,North Country,19,217
2023-08-23,Oneida,12,96
2023-08-23,Onondaga,27,272
2023-08-23,Ontario,4,22
2023-08-23,Orange,32,208
2023-08-23,Orleans,6,12
2023-08-23,Oswego,7,88
2023-08-23,Otsego,9,14
2023-08-23,Putnam,6,37
2023-08-23,Queens,197,1075
2023-08-23,Rensselaer,6,41
2023-08-23,Richmond,48,251
2023-08-23,Rockland,21,171
2023-08-23,STATEWIDE,1387,9177
2023-08-23,Saratoga,6,70
2023-08-23,Schenectady,3,32
2023-08-23,Schoharie,2,6
2023-08-23,Schuyler,1,7
2023-08-23,Seneca,2,18
2023-08-23,Southern Tier,58,212
2023-08-23,St. Lawrence,3,67
2023-08-23,Steuben,8,24
2023-08-23,Suffolk,133,744
2023-08-23,Sullivan,7,26
2023-08-23,Tioga,2,5
2023-08-23,Tompkins,10,24
2023-08-23,Ulster,16,73
2023-08-23,Warren,4,25
2023-08-23,Washington,4,26
2023-08-23,Wayne,4,31
2023-08-23,Westchester,82,636
2023-08-23,Western New York,55,182
2023-08-23,Wyoming,0,0
2023-08-23,Yates,0,3
2023-08-22,Albany,6,73
2023-08-22,Allegany,1,2
2023-08-22,Bronx,129,1127
2023-08-22,Broome,23,52
2023-08-22,Capital Region,49,306
2023-08-22,Cattaraugus,2,6
2023-08-22,Cayuga,1,12
2023-08-22,Central New York,45,406
2023-08-22,Chautauqua,3,20
2023-08-22,Chemung,3,71
2023-08-22,Chenango,2,14
2023-08-22,Clinton,2,38
2023-08-22,Columbia,1,3
2023-08-22,Cortland,5,20
